input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[70|0|30]#S3{1,128|5E12,4E17}","1393, 17.0, 0.6","1428, 16.8, 0.6","1393, 17.0, 0.6","1345, 17.2, 0.6","1402, 17.3, 0.6","1345, 17.2, 0.6","1481, 16.6, 0.6","1483, 16.6, 0.6","1451, 17.2, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S4{1,128|5E12,4E17}","1321, 17.8, 0.6","1340, 17.3, 0.6","1359, 17.8, 0.6","1297, 18.2, 0.6","1342, 18.1, 0.6","1313, 18.2, 0.6","1361, 17.1, 0.6","1374, 17.0, 0.6","1348, 17.0, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S5{1,128|5E12,4E17}","1270, 17.6, 0.6","1327, 17.7, 0.6","1270, 17.6, 0.6","1265, 18.5, 0.6","1294, 18.5, 0.6","1277, 18.5, 0.6","1345, 17.8, 0.6","1316, 17.7, 0.6","1341, 17.6, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S6{1,128|5E12,4E17}","1432, 17.3, 0.6","1422, 17.2, 0.6","1392, 17.3, 0.6","1377, 17.8, 0.6","1395, 17.3, 0.6","1394, 17.6, 0.6","1451, 16.9, 0.6","1506, 16.9, 0.7","1451, 16.9, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S7{1,128|5E12,4E17}","1461, 17.3, 0.6","1498, 17.1, 0.7","1459, 17.1, 0.6","1440, 17.8, 0.6","1515, 17.1, 0.7","1405, 17.3, 0.6","1519, 17.1, 0.7","1528, 16.7, 0.7","1491, 16.9, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S8{1,128|5E12,4E17}","1470, 17.9, 0.6","1511, 17.5, 0.7","1470, 17.9, 0.6","1429, 18.7, 0.6","1481, 18.3, 0.6","1429, 18.7, 0.6","1509, 17.1, 0.6","1522, 17.8, 0.7","1539, 17.4, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S9{1,128|5E12,4E17}","1402, 18.3, 0.6","1405, 17.8, 0.6","1425, 18.1, 0.6","1428, 18.5, 0.6","1423, 18.5, 0.6","1401, 18.6, 0.6","1463, 17.3, 0.6","1483, 17.5, 0.7","1465, 17.2, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S0{1,128|5E12,4E17}","1602, 17.1, 0.7","1619, 17.1, 0.7","1605, 17.2, 0.7","1556, 17.4, 0.7","1582, 17.3, 0.7","1559, 17.4, 0.7","1694, 16.9, 0.7","1684, 16.9, 0.7","1658, 17.0, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S1{1,128|5E12,4E17}","1410, 17.5, 0.6","1458, 17.7, 0.7","1413, 17.7, 0.6","1392, 18.0, 0.6","1422, 18.0, 0.6","1371, 17.9, 0.6","1470, 16.7, 0.7","1531, 16.8, 0.7","1472, 16.8, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S2{1,128|5E12,4E17}","1547, 17.6, 0.7","1589, 17.4, 0.7","1544, 17.8, 0.7","1486, 18.1, 0.6","1528, 17.6, 0.7","1524, 18.2, 0.7","1585, 16.9, 0.7","1584, 16.9, 0.7","1573, 17.1, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
