input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[20|0|80]#S3{1,128|5E12,4E17}",0.9595,0.9598,0.9595,0.9598,0.9598,0.9601,0.9583,0.9584,0.9584,0.9646,0.8579,rigid_backfill.py
"30D[20|0|80]#S4{1,128|5E12,4E17}",0.9653,0.9640,0.9654,0.9648,0.9649,0.9648,0.9641,0.9639,0.9636,0.9634,0.8620,average_steal_agreement.py
"30D[20|0|80]#S5{1,128|5E12,4E17}",0.9577,0.9589,0.9577,0.9599,0.9596,0.9599,0.9583,0.9572,0.9583,0.9553,0.8630,min_steal_agreement.py
"30D[20|0|80]#S6{1,128|5E12,4E17}",0.9661,0.9668,0.9663,0.9667,0.9661,0.9669,0.9656,0.9657,0.9656,0.9689,0.8584,rigid_backfill.py
"30D[20|0|80]#S7{1,128|5E12,4E17}",0.9665,0.9664,0.9667,0.9674,0.9669,0.9674,0.9666,0.9661,0.9666,0.9744,0.8599,rigid_backfill.py
"30D[20|0|80]#S8{1,128|5E12,4E17}",0.9630,0.9632,0.9633,0.9629,0.9625,0.9628,0.9617,0.9616,0.9615,0.9683,0.8639,rigid_backfill.py
"30D[20|0|80]#S9{1,128|5E12,4E17}",0.9707,0.9708,0.9713,0.9709,0.9709,0.9709,0.9706,0.9710,0.9706,0.9661,0.8530,average_steal_agreement.py
"30D[10|0|90]#S0{1,128|5E12,4E17}",0.9660,0.9659,0.9658,0.9661,0.9665,0.9659,0.9642,0.9646,0.9642,0.9682,0.8609,rigid_backfill.py
"30D[10|0|90]#S1{1,128|5E12,4E17}",0.9646,0.9643,0.9648,0.9640,0.9647,0.9641,0.9634,0.9636,0.9634,0.9716,0.8650,rigid_backfill.py
"30D[10|0|90]#S2{1,128|5E12,4E17}",0.9594,0.9594,0.9594,0.9582,0.9585,0.9584,0.9577,0.9581,0.9576,0.9542,0.8584,average_common_pool.py
"30D[10|0|90]#S3{1,128|5E12,4E17}",0.9581,0.9582,0.9582,0.9584,0.9582,0.9584,0.9570,0.9568,0.9569,0.9646,0.8579,rigid_backfill.py
"30D[10|0|90]#S4{1,128|5E12,4E17}",0.9631,0.9635,0.9636,0.9640,0.9638,0.9644,0.9632,0.9626,0.9632,0.9634,0.8620,min_steal_agreement.py
"30D[10|0|90]#S5{1,128|5E12,4E17}",0.9588,0.9585,0.9588,0.9589,0.9586,0.9589,0.9578,0.9578,0.9579,0.9553,0.8630,min_steal_agreement.py
"30D[10|0|90]#S6{1,128|5E12,4E17}",0.9643,0.9638,0.9643,0.9641,0.9637,0.9641,0.9624,0.9623,0.9625,0.9689,0.8584,rigid_backfill.py
"30D[10|0|90]#S7{1,128|5E12,4E17}",0.9664,0.9663,0.9662,0.9665,0.9664,0.9666,0.9653,0.9653,0.9654,0.9744,0.8599,rigid_backfill.py
"30D[10|0|90]#S8{1,128|5E12,4E17}",0.9617,0.9609,0.9615,0.9618,0.9618,0.9620,0.9595,0.9596,0.9595,0.9683,0.8639,rigid_backfill.py
"30D[10|0|90]#S9{1,128|5E12,4E17}",0.9699,0.9701,0.9699,0.9699,0.9699,0.9697,0.9694,0.9695,0.9694,0.9661,0.8530,average_common_pool.py
"30D[0|0|100]#S0{1,128|5E12,4E17}",0.9665,0.9666,0.9665,0.9666,0.9667,0.9666,0.9648,0.9646,0.9648,0.9682,0.8609,rigid_backfill.py
"30D[0|0|100]#S1{1,128|5E12,4E17}",0.9668,0.9668,0.9669,0.9671,0.9671,0.9671,0.9649,0.9649,0.9649,0.9716,0.8650,rigid_backfill.py
"30D[0|0|100]#S2{1,128|5E12,4E17}",0.9624,0.9623,0.9624,0.9622,0.9621,0.9623,0.9603,0.9602,0.9603,0.9542,0.8584,average_steal_agreement.py
"30D[0|0|100]#S3{1,128|5E12,4E17}",0.9618,0.9613,0.9618,0.9614,0.9614,0.9614,0.9586,0.9586,0.9586,0.9646,0.8579,rigid_backfill.py
"30D[0|0|100]#S4{1,128|5E12,4E17}",0.9677,0.9674,0.9677,0.9675,0.9676,0.9675,0.9654,0.9653,0.9654,0.9634,0.8620,average_steal_agreement.py
"30D[0|0|100]#S5{1,128|5E12,4E17}",0.9640,0.9638,0.9640,0.9642,0.9640,0.9642,0.9622,0.9622,0.9622,0.9553,0.8630,min_agreement.py
"30D[0|0|100]#S6{1,128|5E12,4E17}",0.9650,0.9652,0.9651,0.9651,0.9650,0.9651,0.9622,0.9622,0.9622,0.9689,0.8584,rigid_backfill.py
"30D[0|0|100]#S7{1,128|5E12,4E17}",0.9679,0.9680,0.9679,0.9682,0.9682,0.9682,0.9663,0.9663,0.9663,0.9744,0.8599,rigid_backfill.py
"30D[0|0|100]#S8{1,128|5E12,4E17}",0.9632,0.9629,0.9632,0.9629,0.9628,0.9629,0.9609,0.9608,0.9609,0.9683,0.8639,rigid_backfill.py
"30D[0|0|100]#S9{1,128|5E12,4E17}",0.9699,0.9700,0.9699,0.9698,0.9699,0.9698,0.9684,0.9683,0.9684,0.9661,0.8530,average_common_pool.py
