input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[50|0|50]#S5{1,128|5E12,4E17}",2663810,2661730,2663900,2661950,2661350,2660530,2657750,2660110,2657780,2710050,2997530,pref_agreement.py
"30D[50|0|50]#S6{1,128|5E12,4E17}",2620950,2621880,2620950,2622210,2620230,2619850,2617780,2620020,2618020,2673580,3015030,pref_agreement.py
"30D[50|0|50]#S7{1,128|5E12,4E17}",2608520,2608550,2608520,2609700,2609410,2609700,2608000,2608250,2608000,2656560,3010590,"pref_agreement.py, pref_steal_agreement.py"
"30D[50|0|50]#S8{1,128|5E12,4E17}",2621250,2621340,2621250,2623180,2623120,2623180,2620600,2620000,2620600,2673360,2995050,pref_common_pool.py
"30D[50|0|50]#S9{1,128|5E12,4E17}",2612380,2616080,2612510,2613870,2619430,2613830,2609590,2613350,2614250,2679940,3035470,pref_agreement.py
"30D[40|0|60]#S0{1,128|5E12,4E17}",2619930,2619420,2620610,2619940,2622170,2619940,2618590,2620650,2619030,2673350,3001750,pref_agreement.py
"30D[40|0|60]#S1{1,128|5E12,4E17}",2618840,2618790,2618040,2618350,2620420,2619270,2617090,2619510,2616500,2664810,2990080,pref_steal_agreement.py
"30D[40|0|60]#S2{1,128|5E12,4E17}",2640770,2636950,2639200,2641140,2643520,2638950,2634980,2637790,2639180,2712900,3015110,pref_agreement.py
"30D[40|0|60]#S3{1,128|5E12,4E17}",2638340,2634870,2640210,2635060,2638960,2634930,2634170,2633810,2633000,2682040,3015860,pref_steal_agreement.py
"30D[40|0|60]#S4{1,128|5E12,4E17}",2627260,2627130,2626600,2625470,2628770,2628630,2622630,2624930,2623530,2688060,3003280,pref_agreement.py
"30D[40|0|60]#S5{1,128|5E12,4E17}",2657690,2658230,2657690,2655990,2655030,2657090,2654950,2654680,2655660,2710050,2997530,pref_common_pool.py
"30D[40|0|60]#S6{1,128|5E12,4E17}",2617610,2614770,2617610,2614520,2614540,2614520,2616210,2617510,2616210,2673580,3015030,"min_agreement.py, min_steal_agreement.py"
"30D[40|0|60]#S7{1,128|5E12,4E17}",2607540,2607500,2607540,2607120,2607540,2607120,2606670,2606600,2607450,2656560,3010590,pref_common_pool.py
"30D[40|0|60]#S8{1,128|5E12,4E17}",2621620,2621060,2621620,2620560,2620560,2620560,2620680,2621200,2620680,2673360,2995050,"min_agreement.py, min_common_pool.py, min_steal_agreement.py"
"30D[40|0|60]#S9{1,128|5E12,4E17}",2601780,2604360,2604260,2604400,2603070,2602500,2598010,2598540,2594520,2679940,3035470,pref_steal_agreement.py
"30D[30|0|70]#S0{1,128|5E12,4E17}",2616720,2616410,2616800,2615270,2616270,2615240,2611860,2611000,2611860,2673350,3001750,pref_common_pool.py
"30D[30|0|70]#S1{1,128|5E12,4E17}",2613650,2615440,2616210,2615130,2615020,2615130,2614150,2612590,2614240,2664810,2990080,pref_common_pool.py
"30D[30|0|70]#S2{1,128|5E12,4E17}",2629750,2630150,2630170,2631320,2630360,2632190,2630850,2628250,2630850,2712900,3015110,pref_common_pool.py
"30D[30|0|70]#S3{1,128|5E12,4E17}",2630770,2630840,2632610,2632350,2632630,2632350,2628820,2627560,2629420,2682040,3015860,pref_common_pool.py
"30D[30|0|70]#S4{1,128|5E12,4E17}",2618770,2616930,2618770,2617980,2617100,2618870,2616500,2616140,2616510,2688060,3003280,pref_common_pool.py
"30D[30|0|70]#S5{1,128|5E12,4E17}",2647990,2648170,2647990,2649050,2652860,2649050,2648210,2647900,2647650,2710050,2997530,pref_steal_agreement.py
