input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[60|0|40]#S6{1,128|5E12,4E17}","1562, 22.6, 0.7","1597, 22.5, 0.7","1566, 22.4, 0.7","1556, 23.0, 0.7","1599, 22.6, 0.7","1551, 22.8, 0.7","1850, 17.5, 0.8","1972, 17.4, 0.9","1873, 17.3, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S7{1,128|5E12,4E17}","1606, 22.5, 0.7","1631, 22.0, 0.7","1604, 22.5, 0.7","1583, 22.0, 0.7","1622, 22.4, 0.7","1592, 22.0, 0.7","1940, 17.6, 0.8","1995, 17.1, 0.9","1937, 17.8, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S8{1,128|5E12,4E17}","1597, 22.5, 0.7","1648, 22.9, 0.7","1613, 22.8, 0.7","1578, 23.0, 0.7","1644, 23.2, 0.7","1562, 23.1, 0.7","1901, 17.5, 0.8","1928, 17.7, 0.8","1957, 17.6, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S9{1,128|5E12,4E17}","1562, 23.3, 0.7","1572, 23.2, 0.7","1558, 23.3, 0.7","1532, 23.1, 0.7","1573, 23.5, 0.7","1538, 23.2, 0.7","1888, 17.9, 0.8","1868, 17.9, 0.8","1885, 18.3, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S0{1,128|5E12,4E17}","1773, 23.0, 0.8","1804, 22.7, 0.8","1775, 22.9, 0.8","1745, 23.5, 0.8","1763, 23.2, 0.8","1753, 23.4, 0.8","2163, 17.3, 0.9","2149, 17.1, 0.9","2161, 17.4, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S1{1,128|5E12,4E17}","1634, 24.1, 0.7","1643, 24.4, 0.7","1639, 24.0, 0.7","1626, 24.6, 0.7","1620, 24.1, 0.7","1626, 24.6, 0.7","1982, 17.3, 0.9","2000, 17.4, 0.9","1980, 17.3, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S2{1,128|5E12,4E17}","1737, 23.3, 0.8","1738, 23.1, 0.8","1722, 23.0, 0.8","1703, 23.6, 0.7","1755, 23.5, 0.8","1706, 23.4, 0.7","2055, 18.0, 0.9","2089, 17.9, 0.9","2044, 18.0, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S3{1,128|5E12,4E17}","1780, 24.6, 0.8","1818, 24.3, 0.8","1777, 24.2, 0.8","1776, 24.6, 0.8","1801, 24.6, 0.8","1776, 24.6, 0.8","2129, 17.9, 0.9","2235, 18.0, 1.0","2129, 17.9, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S4{1,128|5E12,4E17}","1675, 24.3, 0.7","1686, 23.8, 0.7","1675, 24.3, 0.7","1675, 23.9, 0.7","1695, 23.9, 0.7","1684, 24.1, 0.7","2029, 18.0, 0.9","1975, 17.9, 0.9","2020, 18.0, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S5{1,128|5E12,4E17}","1748, 25.2, 0.8","1760, 24.8, 0.8","1740, 24.9, 0.8","1728, 25.3, 0.8","1762, 25.1, 0.8","1715, 25.4, 0.8","2125, 18.5, 0.9","2130, 18.6, 0.9","2115, 18.7, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S6{1,128|5E12,4E17}","1720, 22.8, 0.7","1723, 22.9, 0.7","1724, 22.7, 0.7","1700, 23.3, 0.7","1733, 23.2, 0.8","1695, 23.3, 0.7","2071, 17.3, 0.9","2100, 17.2, 0.9","2089, 17.3, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S7{1,128|5E12,4E17}","1762, 23.0, 0.8","1772, 22.6, 0.8","1732, 22.8, 0.8","1732, 23.2, 0.8","1742, 22.9, 0.8","1724, 23.1, 0.7","2120, 17.6, 0.9","2152, 17.2, 0.9","2143, 17.3, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S8{1,128|5E12,4E17}","1761, 23.5, 0.8","1785, 23.1, 0.8","1742, 23.5, 0.8","1739, 24.2, 0.7","1772, 23.6, 0.8","1742, 24.1, 0.8","2123, 17.9, 0.9","2137, 17.8, 0.9","2122, 17.9, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S9{1,128|5E12,4E17}","1737, 23.3, 0.8","1773, 23.4, 0.8","1736, 22.9, 0.8","1694, 23.5, 0.7","1724, 22.8, 0.8","1721, 23.0, 0.8","2101, 17.8, 0.9","2196, 17.5, 1.0","2142, 18.0, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
