input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[20|0|80]#S4{1,128|5E12,4E17}",2612810,2614820,2612810,2613370,2613240,2613370,2611800,2612680,2611800,2690410,3006950,"pref_agreement.py, pref_steal_agreement.py"
"30D[20|0|80]#S5{1,128|5E12,4E17}",2650490,2648120,2650490,2644590,2645450,2644590,2641120,2644080,2640920,2711130,3001010,pref_steal_agreement.py
"30D[20|0|80]#S6{1,128|5E12,4E17}",2615330,2615270,2615560,2615260,2616090,2615260,2614140,2614140,2614140,2673910,3018010,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[20|0|80]#S7{1,128|5E12,4E17}",2606650,2606590,2606710,2605440,2605560,2605440,2605080,2605960,2605080,2659420,3013800,"pref_agreement.py, pref_steal_agreement.py"
"30D[20|0|80]#S8{1,128|5E12,4E17}",2620450,2620450,2620450,2620300,2620220,2620450,2619770,2619840,2619830,2675400,2998710,pref_agreement.py
"30D[20|0|80]#S9{1,128|5E12,4E17}",2596530,2596530,2596530,2596770,2596770,2596770,2596340,2596340,2596340,2682030,3037630,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[10|0|90]#S0{1,128|5E12,4E17}",2604400,2604560,2604400,2604120,2604160,2604200,2603590,2603590,2603590,2674980,3008130,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[10|0|90]#S1{1,128|5E12,4E17}",2608550,2610510,2608550,2609870,2609210,2609870,2606270,2606450,2606270,2664830,2993050,"pref_agreement.py, pref_steal_agreement.py"
"30D[10|0|90]#S2{1,128|5E12,4E17}",2618980,2619570,2618870,2622060,2621720,2621570,2619710,2618110,2619710,2716110,3018990,pref_common_pool.py
"30D[10|0|90]#S3{1,128|5E12,4E17}",2624170,2623990,2624170,2624610,2625080,2624610,2621090,2621830,2621090,2685150,3019040,"pref_agreement.py, pref_steal_agreement.py"
"30D[10|0|90]#S4{1,128|5E12,4E17}",2610800,2610170,2611380,2609800,2609710,2608770,2607180,2609390,2607120,2690410,3006950,pref_steal_agreement.py
"30D[10|0|90]#S5{1,128|5E12,4E17}",2638660,2638960,2638660,2638420,2639650,2638450,2632840,2632840,2632550,2711130,3001010,pref_steal_agreement.py
"30D[10|0|90]#S6{1,128|5E12,4E17}",2614500,2615080,2614600,2615080,2614860,2615080,2613950,2613840,2613950,2673910,3018010,pref_common_pool.py
"30D[10|0|90]#S7{1,128|5E12,4E17}",2603430,2603500,2603430,2603220,2603580,2603220,2602230,2602020,2602230,2659420,3013800,pref_common_pool.py
"30D[10|0|90]#S8{1,128|5E12,4E17}",2618720,2618610,2618720,2618560,2618930,2618560,2617920,2618410,2617920,2675400,2998710,"pref_agreement.py, pref_steal_agreement.py"
"30D[10|0|90]#S9{1,128|5E12,4E17}",2595520,2595280,2595520,2595400,2595580,2595400,2594460,2594460,2594460,2682030,3037630,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[0|0|100]#S0{1,128|5E12,4E17}",2602500,2602500,2602500,2602540,2602540,2602540,2601680,2601720,2601680,2674980,3008130,"pref_agreement.py, pref_steal_agreement.py"
"30D[0|0|100]#S1{1,128|5E12,4E17}",2597370,2597310,2597370,2597300,2597490,2597300,2596130,2596040,2596130,2664830,2993050,pref_common_pool.py
"30D[0|0|100]#S2{1,128|5E12,4E17}",2607530,2607750,2607530,2607270,2608330,2607300,2606160,2606190,2606160,2716110,3018990,"pref_agreement.py, pref_steal_agreement.py"
"30D[0|0|100]#S3{1,128|5E12,4E17}",2612920,2613070,2612920,2613230,2613200,2613230,2611040,2611090,2611040,2685150,3019040,"pref_agreement.py, pref_steal_agreement.py"
"30D[0|0|100]#S4{1,128|5E12,4E17}",2601530,2602020,2601530,2602180,2602150,2602180,2600160,2600330,2600160,2690410,3006950,"pref_agreement.py, pref_steal_agreement.py"
"30D[0|0|100]#S5{1,128|5E12,4E17}",2619690,2620010,2619690,2619630,2619990,2619630,2618080,2618080,2618080,2711130,3001010,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[0|0|100]#S6{1,128|5E12,4E17}",2612210,2612220,2612210,2612170,2612230,2612170,2611580,2611570,2611580,2673910,3018010,pref_common_pool.py
"30D[0|0|100]#S7{1,128|5E12,4E17}",2599340,2599340,2599340,2599340,2599430,2599340,2598920,2598920,2598920,2659420,3013800,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[0|0|100]#S8{1,128|5E12,4E17}",2616260,2616260,2616260,2616300,2616220,2616300,2615150,2615150,2615150,2675400,2998710,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
"30D[0|0|100]#S9{1,128|5E12,4E17}",2595180,2595180,2595180,2595060,2595060,2595060,2594350,2594350,2594350,2682030,3037630,"pref_agreement.py, pref_common_pool.py, pref_steal_agreement.py"
