input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[70|0|30]#S5{1,128|5E12,4E17}",25446.1217,25647.9291,25446.1217,25845.6344,25303.5992,25710.5757,24795.0845,24497.3401,24834.8176,37575.6881,175178.0237,pref_common_pool.py
"30D[70|0|30]#S6{1,128|5E12,4E17}",33562.9740,33053.4794,33252.6507,36189.3219,33172.1705,35752.8798,32684.5171,31771.5903,32684.4857,44238.4133,213980.5383,pref_common_pool.py
"30D[70|0|30]#S7{1,128|5E12,4E17}",44731.6162,45516.3846,43641.2253,43721.5996,42380.1715,45991.6189,42006.7756,40572.5388,45024.8761,55909.6405,233308.2906,pref_common_pool.py
"30D[70|0|30]#S8{1,128|5E12,4E17}",37839.5479,36221.5031,37840.2491,38151.5144,37595.0235,38151.7403,34459.4256,33524.9107,30684.4906,51822.0357,216173.1484,pref_steal_agreement.py
"30D[70|0|30]#S9{1,128|5E12,4E17}",43562.4665,45168.2552,44809.3176,40197.2081,40561.4958,41214.1447,41975.5663,38840.3526,42008.6304,56588.7353,232505.4427,pref_common_pool.py
"30D[60|0|40]#S0{1,128|5E12,4E17}",26352.8822,26282.7504,26100.8209,25867.6437,26550.9947,26061.4712,25372.8568,24816.8341,25016.4936,47120.4807,212877.2566,pref_common_pool.py
"30D[60|0|40]#S1{1,128|5E12,4E17}",22348.8891,22287.2446,22416.2740,22383.1675,22643.4698,22266.0572,22124.0099,22897.9026,21948.5371,39890.5315,206894.6652,pref_steal_agreement.py
"30D[60|0|40]#S2{1,128|5E12,4E17}",32085.5435,32629.5821,32111.3131,33898.3138,34794.7681,34250.0335,34856.7798,32335.4601,34027.4299,54370.8850,193549.6777,average_agreement.py
"30D[60|0|40]#S3{1,128|5E12,4E17}",21187.6228,21631.9396,21183.9846,21690.8228,20836.4026,21461.2609,20565.3549,20859.8275,20315.2115,35931.3173,203410.4103,pref_steal_agreement.py
"30D[60|0|40]#S4{1,128|5E12,4E17}",28585.3394,28497.2758,28582.9384,28477.1624,30393.8288,29940.9150,29634.4357,29764.5809,27358.8627,46188.7406,196912.4530,pref_steal_agreement.py
"30D[60|0|40]#S5{1,128|5E12,4E17}",22051.6185,21260.3020,21586.9229,21123.1056,21783.0515,21286.9472,21119.2971,20880.9325,21173.0117,37575.6881,175178.0237,pref_common_pool.py
"30D[60|0|40]#S6{1,128|5E12,4E17}",26508.7429,25169.1137,26734.9226,25464.4443,24225.2716,24681.1639,23698.5247,23132.8404,23781.5647,44238.4133,213980.5383,pref_common_pool.py
"30D[60|0|40]#S7{1,128|5E12,4E17}",31310.8012,32144.9575,31321.2474,33459.3001,31289.6718,33710.1330,32646.3518,31017.2658,31161.4351,55909.6405,233308.2906,pref_common_pool.py
"30D[60|0|40]#S8{1,128|5E12,4E17}",26168.8292,25426.7376,25798.4243,26733.0244,25480.5018,26421.6899,24957.4411,24119.9251,23608.0261,51822.0357,216173.1484,pref_steal_agreement.py
"30D[60|0|40]#S9{1,128|5E12,4E17}",32565.8459,33274.2974,32486.4839,32024.5414,32255.1536,31783.4467,31854.5267,30573.3849,31947.5837,56588.7353,232505.4427,pref_common_pool.py
"30D[50|0|50]#S0{1,128|5E12,4E17}",23003.5082,23451.8561,22986.3483,23305.2263,22988.0015,23138.5828,22789.7873,23393.6510,22899.6237,47120.4807,212877.2566,pref_agreement.py
"30D[50|0|50]#S1{1,128|5E12,4E17}",20428.4707,20203.1018,20449.7876,20384.8300,20546.4363,20384.8300,19842.4244,20297.3309,19614.1378,39890.5315,206894.6652,pref_steal_agreement.py
"30D[50|0|50]#S2{1,128|5E12,4E17}",27749.4776,27187.3076,27324.1561,28538.6637,27313.6778,27771.3830,26765.2130,27485.4336,27471.4872,54370.8850,193549.6777,pref_agreement.py
"30D[50|0|50]#S3{1,128|5E12,4E17}",18788.3946,18930.6226,19056.6023,19140.0050,18725.9467,19140.4076,17268.1509,17288.2734,17267.2402,35931.3173,203410.4103,pref_steal_agreement.py
"30D[50|0|50]#S4{1,128|5E12,4E17}",24330.6298,24131.1178,24330.6298,25826.2028,26176.3616,25894.3889,22583.6547,23428.8401,22400.4406,46188.7406,196912.4530,pref_steal_agreement.py
"30D[50|0|50]#S5{1,128|5E12,4E17}",19973.7508,19788.3073,20080.6810,20156.4218,20047.6732,19881.3492,18890.8966,19496.6744,18791.4765,37575.6881,175178.0237,pref_steal_agreement.py
"30D[50|0|50]#S6{1,128|5E12,4E17}",21053.0445,21609.7352,21057.9738,20947.3280,20821.1968,20902.6717,20457.4325,21029.2982,20810.7737,44238.4133,213980.5383,pref_agreement.py
"30D[50|0|50]#S7{1,128|5E12,4E17}",26332.4621,27614.6052,26585.9393,28854.9172,26549.3062,26904.5841,25417.7928,27584.2341,25357.6204,55909.6405,233308.2906,pref_steal_agreement.py
"30D[50|0|50]#S8{1,128|5E12,4E17}",22011.9938,20876.0965,21696.9349,21084.3989,21037.7465,21011.4276,20415.2577,20229.4135,20412.7254,51822.0357,216173.1484,pref_common_pool.py
"30D[50|0|50]#S9{1,128|5E12,4E17}",25679.3086,26926.9082,25803.7708,26000.6094,27246.9921,25474.0152,24781.9346,25133.9629,25431.1721,56588.7353,232505.4427,pref_agreement.py
"30D[40|0|60]#S0{1,128|5E12,4E17}",22456.7756,22503.2044,22421.6972,22104.5371,22466.3286,22128.3495,21770.5827,21636.4407,21698.1395,47120.4807,212877.2566,pref_common_pool.py
"30D[40|0|60]#S1{1,128|5E12,4E17}",18367.1260,18592.9223,18374.6462,18548.0321,18871.7484,18656.8267,17846.5062,18191.0848,17901.3335,39890.5315,206894.6652,pref_agreement.py
"30D[40|0|60]#S2{1,128|5E12,4E17}",24461.4332,23459.9911,24683.7010,24852.0855,25195.1015,24419.0886,22895.4397,23581.7730,23961.6121,54370.8850,193549.6777,pref_agreement.py
"30D[40|0|60]#S3{1,128|5E12,4E17}",16462.3031,16490.9232,16802.1930,16337.7938,16723.3542,16306.4049,15732.4790,15693.8686,15724.6590,35931.3173,203410.4103,pref_common_pool.py
"30D[40|0|60]#S4{1,128|5E12,4E17}",21912.5047,21706.0399,21993.2973,21338.5996,21976.1485,21931.7352,20293.3194,20408.0321,20526.5862,46188.7406,196912.4530,pref_agreement.py
"30D[40|0|60]#S5{1,128|5E12,4E17}",18554.4035,18760.2916,18554.3867,18711.2716,18114.8835,18726.2778,17753.6023,18092.8656,17802.3603,37575.6881,175178.0237,pref_agreement.py
"30D[40|0|60]#S6{1,128|5E12,4E17}",18831.3745,18291.9204,18521.1241,18602.9447,18355.8995,18596.9504,17703.3830,17448.2979,17685.5477,44238.4133,213980.5383,pref_common_pool.py
"30D[40|0|60]#S7{1,128|5E12,4E17}",23094.4170,23336.5708,22924.9460,22333.1715,22974.0713,22876.9330,20636.6495,20717.4661,21024.1845,55909.6405,233308.2906,pref_agreement.py
"30D[40|0|60]#S8{1,128|5E12,4E17}",18197.0435,18174.0129,18230.9543,18275.4599,18314.5827,18275.4639,16033.8325,16684.3996,16604.0116,51822.0357,216173.1484,pref_agreement.py
"30D[40|0|60]#S9{1,128|5E12,4E17}",20678.0547,21786.2668,21105.5796,21614.7872,20981.6964,21472.3748,19253.8325,19312.1960,17570.7157,56588.7353,232505.4427,pref_steal_agreement.py
"30D[30|0|70]#S0{1,128|5E12,4E17}",21745.9711,21257.1337,21717.9538,20837.0151,20930.4973,20815.1939,20244.3975,20403.4924,20473.9389,47120.4807,212877.2566,pref_agreement.py
"30D[30|0|70]#S1{1,128|5E12,4E17}",17666.6854,17542.8863,17519.2631,17519.5719,17475.5851,17521.2440,16854.4395,16650.2176,16831.6117,39890.5315,206894.6652,pref_common_pool.py
"30D[30|0|70]#S2{1,128|5E12,4E17}",21376.9833,21397.5928,21287.7008,22121.7226,21272.7980,21921.6015,20803.0445,20533.4763,20799.5705,54370.8850,193549.6777,pref_common_pool.py
"30D[30|0|70]#S3{1,128|5E12,4E17}",15633.5975,15214.0471,15540.8541,15294.5688,15157.3753,15453.3959,14657.5697,14543.0070,14723.5784,35931.3173,203410.4103,pref_common_pool.py
"30D[30|0|70]#S4{1,128|5E12,4E17}",18660.2293,18759.1873,18656.5258,18986.0814,18820.1210,19387.0261,17865.7276,18150.0299,18302.8342,46188.7406,196912.4530,pref_agreement.py
"30D[30|0|70]#S5{1,128|5E12,4E17}",17067.0536,17002.2776,17067.0440,17162.6430,17179.1788,17162.5860,16318.0542,16334.3259,16313.9800,37575.6881,175178.0237,pref_steal_agreement.py
"30D[30|0|70]#S6{1,128|5E12,4E17}",16503.0174,16512.7659,16401.0618,16590.7738,17120.4760,16600.2456,15618.5876,15721.4420,15514.4356,44238.4133,213980.5383,pref_steal_agreement.py
"30D[30|0|70]#S7{1,128|5E12,4E17}",19184.5944,19694.1369,19199.2522,19815.4342,19291.8689,19816.3156,17177.7064,17355.8626,17236.7073,55909.6405,233308.2906,pref_agreement.py
"30D[30|0|70]#S8{1,128|5E12,4E17}",16334.9370,16106.3872,16267.5061,16288.9585,15873.6060,16288.9785,15143.1390,14799.4620,15069.3393,51822.0357,216173.1484,pref_common_pool.py
"30D[30|0|70]#S9{1,128|5E12,4E17}",17008.0688,16359.8745,16171.3282,16450.4398,15361.1435,16456.5262,14920.3809,15157.6453,14920.3921,56588.7353,232505.4427,pref_agreement.py
"30D[20|0|80]#S0{1,128|5E12,4E17}",19108.7813,19336.7706,19109.2292,19338.0752,19330.2563,19427.8490,18803.0608,18985.2373,18785.3186,47120.4807,212877.2566,pref_steal_agreement.py
"30D[20|0|80]#S1{1,128|5E12,4E17}",16902.0177,16830.5541,16887.3391,16848.5005,16662.5018,16848.6207,15918.8685,15871.2000,16043.2498,39890.5315,206894.6652,pref_common_pool.py
"30D[20|0|80]#S2{1,128|5E12,4E17}",19843.6776,19964.4994,19953.7096,19783.6636,19734.4136,19869.8477,19241.9917,19156.3348,19425.5651,54370.8850,193549.6777,pref_common_pool.py
"30D[20|0|80]#S3{1,128|5E12,4E17}",14559.4957,14591.6422,14559.4585,14427.4246,14559.4375,14440.1213,13912.4718,13905.7320,13857.3780,35931.3173,203410.4103,pref_steal_agreement.py
"30D[20|0|80]#S4{1,128|5E12,4E17}",17145.6648,17980.7614,17275.8532,17718.6830,17418.0550,17718.6774,16682.2102,16657.2363,17040.4609,46188.7406,196912.4530,pref_common_pool.py
"30D[20|0|80]#S5{1,128|5E12,4E17}",17130.5419,16324.8747,17133.3858,15560.3037,15918.3589,15560.3352,15072.5722,15839.9822,15183.3997,37575.6881,175178.0237,pref_agreement.py
